countries,infected,deaths,recovered,active,death_rate,recovery_rate
United States,275493,7081,12097,256315,2.6,4.4
Italy,119827,14681,19758,85388,12.3,16.5
Spain,119199,11198,30513,77488,9.4,25.6
Germany,91159,1275,24575,65309,1.4,27.0
China,82492,3326,76741,2425,4.0,93.0
France,64338,6507,14008,43823,10.1,21.8
Iran,53183,3294,17935,31954,6.2,33.7
United Kingdom,38672,3611,208,34853,9.3,0.5
Turkey,20921,425,484,20012,2.0,2.3
Switzerland,19606,591,4846,14169,3.0,24.7
Belgium,16770,1143,2872,12755,6.8,17.1
Netherlands,15808,1489,257,14062,9.4,1.6
Canada,12375,208,2186,9981,1.7,17.7
Austria,11524,168,2022,9334,1.5,17.5
South Korea,10062,174,6021,3867,1.7,59.8
Portugal,9886,246,68,9572,2.5,0.7
Brazil,9056,359,127,8570,4.0,1.4
Israel,7428,40,403,6985,0.5,5.4
Sweden,6131,358,205,5568,5.8,3.3
Norway,5370,59,32,5279,1.1,0.6
Australia,5350,28,649,4673,0.5,12.1
Ireland,4273,120,5,4148,2.8,0.1
Russia,4149,34,281,3834,0.8,6.8
Czechia,4091,53,72,3966,1.3,1.8
Denmark,3936,139,1284,2513,3.5,32.6
Chile,3737,22,427,3288,0.6,11.4
Poland,3383,71,56,3256,2.1,1.7
Ecuador,3368,145,65,3158,4.3,1.9
Malaysia,3333,53,827,2453,1.6,24.8
Romania,3183,133,283,2767,4.2,8.9
Philippines,3018,136,52,2830,4.5,1.7
Pakistan,2686,40,126,2520,1.5,4.7
Japan,2617,63,514,2040,2.4,19.6
Luxembourg,2612,31,500,2081,1.2,19.1
India,2567,72,192,2303,2.8,7.5
Saudi Arabia,2039,25,351,1663,1.2,17.2
Indonesia,1986,181,134,1671,9.1,6.7
Thailand,1978,19,612,1347,1.0,30.9
Finland,1615,20,300,1295,1.2,18.6
Greece,1613,63,78,1472,3.9,4.8
Peru,1595,61,537,997,3.8,33.7
Mexico,1510,50,633,827,3.3,41.9
South Africa,1505,9,95,1401,0.6,6.3
Dominican Republic,1488,68,16,1404,4.6,1.1
Serbia,1476,39,54,1383,2.6,3.7
Panama,1475,37,10,1428,2.5,0.7
Iceland,1364,4,309,1051,0.3,22.7
Colombia,1267,25,55,1187,2.0,4.3
Argentina,1265,39,266,960,3.1,21.0
United Arab Emirates,1264,9,108,1147,0.7,8.5
Algeria,1171,105,62,1004,9.0,5.3
Singapore,1114,5,282,827,0.4,25.3
Croatia,1079,8,92,979,0.7,8.5
Qatar,1075,3,93,979,0.3,8.7
Ukraine,1072,27,22,1023,2.5,2.1
Egypt,985,66,216,703,6.7,21.9
Estonia,961,12,48,901,1.2,5.0
Slovenia,934,20,70,844,2.1,7.5
New Zealand,868,1,103,764,0.1,11.9
Hong Kong,845,4,173,668,0.5,20.5
Iraq,820,54,226,540,6.6,27.6
Morocco,791,48,57,686,6.1,7.2
Armenia,736,7,43,686,1.0,5.8
Cruise Ship,712,11,619,82,1.5,86.9
