countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,369522,2916,11013,154,19874,301,338635,9015,1942470,3.0,5.4
Spain,140510,3835,13798,457,43208,2771,83504,7069,355000,9.8,30.8
Italy,132547,0,16523,0,22837,0,93187,3898,721732,12.5,17.2
Germany,104199,825,1842,32,36081,7381,66276,4895,918460,1.8,34.6
France,98010,0,8911,0,17250,0,71849,7072,224254,9.1,17.6
China,82699,53,3335,0,77391,100,1973,211,0,4.0,93.6
Iran,62589,2089,3872,133,27039,2803,31678,3987,211136,6.2,43.2
United Kingdom,52280,23,5384,0,312,25,46584,1559,252958,10.3,0.6
Turkey,30217,0,649,0,1326,0,28242,1415,202845,2.1,4.4
Switzerland,22242,585,811,46,8056,0,13375,391,167429,3.6,36.2
Belgium,22194,1380,2035,403,4157,171,16002,1260,80512,9.2,18.7
Netherlands,19688,777,2107,234,253,0,17328,1424,86589,10.7,1.3
Canada,16667,0,323,-15,3616,0,12728,426,330901,1.9,21.7
Austria,12547,250,243,23,4046,583,8258,243,115235,1.9,32.2
Portugal,12442,712,345,34,184,44,11913,271,121256,2.8,1.5
Brazil,12341,158,581,17,127,0,11633,296,54824,4.7,1.0
South Korea,10331,47,192,6,6694,96,3445,55,461233,1.9,64.8
Israel,9006,102,60,3,683,98,8263,153,109724,0.7,7.6
Sweden,7693,487,591,114,205,0,6897,640,54700,7.7,2.7
Russia,7497,1154,58,11,494,88,6945,8,795000,0.8,6.6
Australia,5908,13,48,7,2547,115,3313,93,310700,0.8,43.1
Norway,5866,1,88,12,32,0,5746,83,111299,1.5,0.5
Ireland,5364,0,174,0,25,0,5165,165,30213,3.2,0.5
Denmark,5162,298,203,16,1611,126,3348,127,52936,3.9,31.2
India,4911,133,137,1,382,7,4392,0,140293,2.8,7.8
Czechia,4828,6,80,2,127,6,4621,86,91247,1.7,2.6
Chile,4815,0,37,0,728,0,4050,327,54864,0.8,15.1
Poland,4532,119,111,4,191,29,4230,50,92215,2.4,4.2
Romania,4417,360,197,21,460,54,3760,274,43578,4.5,10.4
Pakistan,4005,239,55,2,429,170,3521,28,39183,1.4,10.7
Malaysia,3963,170,63,1,1321,80,2579,92,55566,1.6,33.3
Japan,3906,252,92,7,592,17,3222,79,46172,2.4,15.2
Philippines,3764,104,177,14,84,11,3503,1,22958,4.7,2.2
Ecuador,3747,0,191,0,100,0,3456,156,13039,5.1,2.7
Luxembourg,2843,0,41,0,500,0,2302,33,24291,1.4,17.6
Saudi Arabia,2795,190,41,3,615,64,2139,41,0,1.5,22.0
Indonesia,2738,247,221,12,204,12,2313,0,14354,8.1,7.5
Peru,2561,0,92,0,997,0,1472,89,20414,3.6,38.9
Serbia,2447,247,61,3,118,0,2268,109,9626,2.5,4.8
Mexico,2439,296,125,31,633,0,1681,89,20475,5.1,26.0
Finland,2308,132,34,7,300,0,1974,81,34900,1.5,13.0
Thailand,2258,38,27,1,824,31,1407,30,25071,1.2,36.5
Panama,2100,0,55,0,14,0,2031,88,10297,2.6,0.7
United Arab Emirates,2076,0,11,0,167,0,1898,1,220000,0.5,8.0
Qatar,1832,0,4,0,131,0,1697,37,38108,0.2,7.2
Dominican Republic,1828,0,86,0,33,0,1709,147,4542,4.7,1.8
Greece,1755,0,81,2,269,0,1405,90,26193,4.6,15.3
South Africa,1749,63,13,1,95,0,1641,7,58098,0.7,5.4
Argentina,1628,74,55,7,338,13,1235,96,11778,3.4,20.8
Iceland,1586,24,6,0,559,99,1021,11,28991,0.4,35.2
Colombia,1579,0,46,0,88,0,1445,50,27685,2.9,5.6
Ukraine,1462,143,45,7,28,0,1389,16,6385,3.1,1.9
Algeria,1423,0,173,0,90,0,1160,46,3359,12.2,6.3
Singapore,1375,0,6,0,344,0,1025,25,65000,0.4,25.0
Egypt,1322,0,85,0,259,0,978,0,25000,6.4,19.6
Croatia,1282,60,18,2,167,37,1097,35,12322,1.4,13.0
New Zealand,1160,54,1,0,241,65,918,14,42826,0.1,20.8
Estonia,1149,41,21,2,69,7,1059,12,23546,1.8,6.0
Morocco,1141,21,83,3,88,7,970,1,5272,7.3,7.7
Slovenia,1059,38,36,6,102,0,921,30,29455,3.4,9.6
Moldova,1056,91,22,3,40,3,994,80,0,2.1,3.8
Iraq,1031,0,64,0,344,0,623,0,0,6.2,33.4
Hong Kong,936,21,4,0,236,20,696,12,96709,0.4,25.2
Lithuania,880,37,15,0,8,0,857,11,27807,1.7,0.9
Belarus,861,161,13,0,54,1,794,31,43000,1.5,6.3
Armenia,853,20,8,0,87,25,758,30,5140,0.9,10.2
Hungary,817,73,47,9,71,4,699,17,23746,5.8,8.7
Bahrain,811,55,4,0,458,0,349,4,47684,0.5,56.5
Bosnia and Herzegovina,754,80,33,4,68,21,653,4,5934,4.4,9.0
Kuwait,743,78,1,0,105,2,637,23,0,0.1,14.1
Azerbaijan,717,76,8,1,44,0,665,23,53300,1.1,6.1
Cruise Ship,712,0,11,0,619,0,82,10,0,1.5,86.9
Kazakhstan,685,23,6,0,50,4,629,16,54767,0.9,7.3
Cameroon,658,0,9,0,17,0,632,0,0,1.4,2.6
North Macedonia,599,29,26,3,30,0,543,15,5879,4.3,5.0
Tunisia,596,0,22,0,5,0,569,39,7725,3.7,0.8
Slovakia,581,47,2,0,13,5,566,3,17639,0.3,2.2
Bulgaria,565,16,22,0,42,3,501,26,15899,3.9,7.4
Latvia,548,6,2,1,16,0,530,5,22575,0.4,2.9
Lebanon,548,7,19,0,60,0,469,27,10221,3.5,10.9
Andorra,525,0,21,0,31,0,473,12,0,4.0,5.9
Uzbekistan,504,47,2,0,30,0,472,8,0,0.4,6.0
Costa Rica,467,0,2,0,18,0,447,14,5363,0.4,3.9
Cyprus,465,0,9,0,45,0,411,11,11664,1.9,9.7
Afghanistan,423,56,14,3,18,0,391,0,0,3.3,4.3
Uruguay,415,0,6,0,123,0,286,14,5385,1.4,29.6
Albania,383,6,22,1,131,15,230,7,2753,5.7,34.2
Taiwan,376,3,5,0,61,4,310,0,39011,1.3,16.2
Oman,371,40,2,0,67,6,302,3,0,0.5,18.1
Burkina Faso,364,0,18,0,108,0,238,0,0,4.9,29.7
Cuba,363,13,9,0,18,0,336,12,5234,2.5,5.0
Jordan,349,0,6,0,126,0,217,5,17000,1.7,36.1
Réunion,349,0,0,0,40,0,309,4,0,0.0,11.5
Channel Islands,335,12,7,0,34,7,294,0,1157,2.1,10.1
Ivory Coast,323,0,3,0,41,0,279,0,0,0.9,12.7
Honduras,305,7,22,0,6,0,277,10,0,7.2,2.0
Malta,293,52,0,0,5,0,288,4,10923,0.0,1.7
Ghana,287,73,5,0,31,0,251,2,0,1.7,10.8
San Marino,277,0,32,0,35,0,210,14,586,11.6,12.6
Mauritius,268,24,7,0,8,1,253,3,4913,2.6,3.0
Palestine,260,6,1,0,24,0,235,0,15140,0.4,9.2
West Bank and Gaza,260,6,1,0,24,0,235,0,0,0.4,9.2
Niger,253,0,10,0,26,0,217,0,4081,4.0,10.3
Vietnam,249,4,0,0,123,28,126,8,94305,0.0,49.4
Montenegro,239,6,2,0,4,3,233,7,1722,0.8,1.7
Nigeria,238,0,5,0,35,0,198,2,5000,2.1,14.7
Kyrgyzstan,228,12,4,0,33,0,191,5,9618,1.8,14.5
Senegal,226,0,2,0,92,0,132,1,0,0.9,40.7
Georgia,195,7,3,1,45,6,147,6,2762,1.5,23.1
Bolivia,194,11,14,3,2,0,178,3,591,7.2,1.0
Sri Lanka,185,7,6,1,42,4,137,5,3248,3.2,22.7
Faroe Islands,184,1,0,0,120,13,64,2,5035,0.0,65.2
Kenya,172,14,6,0,7,3,159,2,4277,3.5,4.1
Venezuela,165,0,7,0,65,0,93,6,1779,4.2,39.4
Mayotte,164,0,2,0,15,0,147,3,479,1.2,9.1
Bangladesh,164,41,17,5,33,0,114,1,4289,10.4,20.1
Congo (Kinshasa),161,0,18,0,5,0,138,0,0,11.2,3.1
Martinique,151,0,4,0,50,0,97,20,0,2.6,33.1
Isle of Man,150,11,1,0,73,18,76,6,1669,0.7,48.7
Kosovo,145,0,1,0,23,0,121,0,0,0.7,15.9
Guadeloupe,139,0,7,0,31,0,101,14,0,5.0,22.3
Brunei,135,0,1,0,85,3,49,3,8845,0.7,63.0
Guinea,128,0,0,0,5,0,123,0,0,0.0,3.9
Paraguay,115,2,5,0,15,3,95,1,2039,4.3,13.0
Cambodia,115,1,0,0,58,5,57,1,5768,0.0,50.4
Gibraltar,109,0,0,0,52,0,57,0,1387,0.0,47.7
Trinidad and Tobago,106,1,8,0,1,0,97,0,870,7.5,0.9
Rwanda,105,0,0,0,4,0,101,0,0,0.0,3.8
Djibouti,90,0,0,0,9,0,81,0,0,0.0,10.0
Madagascar,82,0,0,0,2,0,80,6,0,0.0,2.4
El Salvador,78,9,4,0,5,0,69,4,0,5.1,6.4
Liechtenstein,77,0,1,0,55,0,21,0,900,1.3,71.4
Monaco,77,0,1,0,4,0,72,4,0,1.3,5.2
Guatemala,77,7,3,0,17,2,57,3,1134,3.9,22.1
French Guiana,72,0,0,0,34,0,38,1,0,0.0,47.2
Aruba,71,0,0,0,2,0,69,0,910,0.0,2.8
Barbados,60,0,2,0,6,0,52,4,557,3.3,10.0
Jamaica,59,0,3,0,8,0,48,0,540,5.1,13.6
Togo,58,0,3,0,23,0,32,0,1467,5.2,39.7
Mali,56,9,5,0,12,3,39,0,0,8.9,21.4
Ethiopia,52,8,2,0,4,0,46,1,2271,3.8,7.7
Uganda,52,0,0,0,0,0,52,0,3160,0.0,0.0
Congo (Brazzaville),45,0,5,0,2,0,38,0,0,11.1,4.4
Macau,44,0,0,0,10,0,34,1,0,0.0,22.7
Bermuda,39,0,2,0,17,0,20,0,306,5.1,43.6
Zambia,39,0,1,0,7,2,31,0,619,2.6,17.9
Cayman Islands,39,0,1,0,1,0,37,0,365,2.6,2.6
Sint Maarten,37,0,6,0,1,0,30,0,105,16.2,2.7
Guinea-Bissau,33,15,0,0,0,0,33,0,0,0.0,0.0
Bahamas,33,0,5,0,5,0,23,1,0,15.2,15.2
Saint Martin,32,0,2,0,7,0,23,6,0,6.3,21.9
Guyana,31,0,5,1,8,0,18,8,115,16.1,25.8
Eritrea,31,0,0,0,0,0,31,0,0,0.0,0.0
Gabon,30,6,1,0,1,0,28,0,0,3.3,3.3
Benin,26,0,1,0,5,0,20,0,0,3.8,19.2
