countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1526842,20527,90973,1433,344945,6002,1090924,16353,11787381,6.0,22.6
Russia,281752,9709,2631,94,67373,4207,211748,2300,6916088,0.9,23.9
Spain,277719,1214,27650,87,195945,3692,54124,1152,3037840,10.0,70.6
United Kingdom,244249,3534,34679,170,458,0,209112,1559,2580769,14.2,0.2
Brazil,241080,7938,16118,485,94122,4450,130840,8318,735224,6.7,39.0
Italy,225435,675,31908,145,125176,2366,68351,762,3004960,14.2,55.5
France,179569,204,28108,483,61213,147,90248,2087,1384633,15.7,34.1
Germany,176651,404,8049,22,154011,1411,14591,1166,3147771,4.6,87.2
Turkey,149435,1368,4140,44,109962,1825,35333,914,1624994,2.8,73.6
Iran,120198,1806,6988,51,94464,1317,18746,2705,686935,5.8,78.6
India,95698,5050,3025,154,36795,2571,55878,0,2227642,3.2,38.4
Peru,92273,3732,2648,125,28621,349,61004,850,650613,2.9,31.0
China,82947,6,4633,0,78227,8,87,10,0,5.6,94.3
Canada,77603,1128,5892,104,38550,731,33161,502,1355665,7.6,49.7
Belgium,55280,291,9052,47,14630,170,31598,371,682980,16.4,26.5
Saudi Arabia,54752,2736,312,10,25722,2056,28718,202,586405,0.6,47.0
Mexico,47144,2112,5045,278,31848,1397,10251,378,163691,10.7,67.6
Netherlands,43995,125,5680,10,0,0,38315,349,287943,12.9,0.0
Chile,43781,2353,450,29,19213,1199,24118,769,363496,1.0,43.9
Pakistan,40151,1352,873,39,11341,461,27937,111,373410,2.2,28.2
Ecuador,33182,419,2736,48,3433,0,27013,189,95047,8.2,10.3
Qatar,32604,1632,15,0,4370,582,28219,165,157570,0.0,13.4
Switzerland,30587,15,1881,2,27500,100,1206,69,343359,6.1,89.9
Sweden,30143,466,3679,5,4971,0,21493,287,177500,12.2,16.5
Belarus,29650,969,165,5,9932,434,19553,92,350515,0.6,33.5
Portugal,29036,226,1218,15,4636,814,23182,108,618066,4.2,16.0
Singapore,28038,682,22,0,9340,998,18676,16,246254,0.1,33.3
Ireland,24112,64,1543,10,19470,0,3099,54,258808,6.4,80.7
United Arab Emirates,23358,731,220,6,8512,581,14626,1,1600923,0.9,36.4
Bangladesh,22268,1273,328,14,4373,256,17567,1,175228,1.5,19.6
Poland,18529,272,925,10,7451,276,10153,160,620249,5.0,40.2
Ukraine,18291,433,514,17,5116,210,12661,238,227801,2.8,28.0
