Country,Total confirmed cases,Total deaths,Confirmed recoveries,Cases confirmed today,Deaths today,Recoveries confirmed today
united-states,"309,728","8,441","14,741","32,763","1,050","2,458"
spain,"126,168","11,947","34,219","6,969",749,"3,706"
italy,"124,632","15,362","20,996","4,805",681,"1,238"
germany,"96,092","1,444","26,400","4,933",169,"1,825"
france,"89,953","7,560","15,438","25,615","1,053","1,430"
china,"82,524","3,330","76,927",32,4,186
iran,"55,743","3,452","19,736","2,560",158,"1,801"
united-kingdom,"42,459","4,320",215,"3,787",709,7
turkey,"23,934",501,786,"3,013",76,302
switzerland,"20,505",666,"6,415",899,75,"1,569"
belgium,"18,431","1,283","3,247","1,661",140,375
netherlands,"16,714","1,655",257,906,166,0
canada,"13,912",231,"2,595","1,496",23,409
austria,"11,781",186,"2,507",257,18,485
portugal,"10,524",266,75,638,20,7
brazil,"10,360",445,127,"1,166",82,0
south-korea,"10,156",177,"6,325",94,3,304
israel,"7,851",44,427,423,4,24
sweden,"6,443",373,205,312,15,0
australia,"5,550",30,701,96,2,52
norway,"5,550",62,32,180,3,0
russia,"4,731",43,333,582,9,52
ireland,"4,604",137,25,331,17,0
czechia,"4,472",59,78,282,6,6
denmark,"4,258",161,"1,376",322,22,92
chile,"4,161",27,528,424,5,101
poland,"3,627",79,116,244,8,60
romania,"3,613",146,329,430,13,46
malaysia,"3,483",57,915,150,4,88
ecuador,"3,465",172,100,97,27,35
japan,"3,139",77,514,522,14,0
philippines,"3,094",144,57,76,8,5
india,"3,082",86,229,515,14,37
pakistan,"2,818",41,131,132,1,5
luxembourg,"2,729",31,500,117,0,0
saudi-arabia,"2,179",29,420,140,4,69
indonesia,"2,092",191,150,106,10,16
thailand,"2,067",20,674,89,1,62
finland,"1,882",25,300,267,5,0
peru,"1,746",73,914,151,12,377
mexico,"1,688",60,633,178,10,0
greece,"1,673",68,78,60,5,0
panama,"1,673",41,13,0,0,3
serbia,"1,624",44,54,148,5,0
south-africa,"1,585",9,95,80,0,0
dominican-republic,"1,578",77,17,90,9,1
united-arab-emirates,"1,505",10,125,241,1,17
argentina,"1,451",43,279,98,1,13
iceland,"1,417",4,396,53,0,87
colombia,"1,406",32,85,139,7,30
qatar,"1,325",3,109,250,0,16
algeria,"1,251",130,90,80,25,28
ukraine,"1,225",32,25,153,5,3
singapore,"1,189",6,297,75,1,15
croatia,"1,126",12,119,47,4,27
egypt,"1,070",71,241,85,5,25
estonia,"1,039",13,59,78,1,11
slovenia,977,22,79,43,2,9
new-zealand,950,1,127,82,0,24
morocco,919,59,66,128,11,9
iraq,878,56,259,58,2,33
hong-kong,862,4,173,17,0,0
lithuania,771,11,7,75,2,0
armenia,770,7,43,34,0,0
moldova,752,12,29,161,4,3
cruise-ship,712,11,619,0,0,0
bahrain,688,4,423,16,0,41
hungary,678,32,58,55,6,15
bosnia-and-herzegovina,624,21,30,45,4,3
cameroon,555,9,17,46,1,0
tunisia,553,18,5,58,0,0
kazakhstan,531,5,36,67,0,7
azerbaijan,521,5,32,78,0,0
lebanon,520,17,54,12,0,4
latvia,509,1,1,16,0,0
bulgaria,503,17,34,18,3,4
north-macedonia,483,17,20,53,5,0
kuwait,479,1,93,62,1,11
slovakia,471,1,10,21,0,0
andorra,466,17,21,27,1,5
belarus,440,5,53,89,1,0
costa-rica,435,2,13,19,0,2
cyprus,426,11,33,30,0,5
uruguay,400,5,93,14,1,7
taiwan,355,5,50,7,0,0
réunion,334,0,40,13,0,0
