Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"1,320,683","28,539","78,557","1,649","222,935","6,072","1,019,191","16,931 (2%)","1,019,191",6%,"8,611,547","318,791"
spain,"260,117","3,262","26,299",229,"168,408","4,489","65,410","2,075 (3%)","65,410",10%,"1,932,455",0
italy,"217,185","1,327","30,201",243,"99,023","2,747","87,961","1,168 (1%)","87,961",14%,"2,445,063","63,775"
united-kingdom,"212,502","4,651","31,311",626,919,18,"180,272","1,559 (1%)","180,272",15%,"1,631,561","97,028"
russia,"187,859","10,699","1,723",98,"26,608","2,805","159,528","2,300 (1%)","159,528",1%,"4,980,000","176,808"
france,"176,079","1,288","26,230",243,"55,782",755,"94,067","2,868 (3%)","94,067",15%,"1,384,633",0
germany,"170,588","1,158","7,510",118,"141,700","1,800","21,378","1,712 (8%)","21,378",4%,"2,755,770",0
brazil,"145,892","10,786","9,992",846,"55,350",0,"80,550","8,318 (10%)","80,550",7%,"339,552",0
turkey,"135,569","1,848","3,689",48,"86,396","3,412","45,484","1,219 (3%)","45,484",3%,"1,298,806","33,687"
iran,"104,691","1,556","6,541",55,"83,837","1,093","14,313","2,711 (19%)","14,313",6%,"558,899","14,197"
china,"83,761",2,"4,634",0,"78,786",49,341,18 (5%),341,6%,0,0
canada,"67,535","1,424","4,673",135,"30,406","1,434","32,456",502 (2%),"32,456",7%,"1,032,088","58,530"
peru,"61,847","3,321","1,714",87,"19,012",624,"41,121",730 (2%),"41,121",3%,"473,190","25,170"
india,"59,693","3,342","1,985",96,"17,887","1,111","39,821",0 (0%),"39,821",3%,"1,437,788","80,375"
belgium,"52,011",591,"8,521",106,"13,201",221,"30,289",508 (2%),"30,289",16%,"515,233","21,908"
netherlands,"42,093",218,"5,359",69,0,0,"36,734",564 (2%),"36,734",13%,"249,655",0
