Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
united-states,"560,433",187,"22,115",14,"32,634",397,"505,684","11,766 (2%)","505,684",4%,"2,833,112",854
spain,"169,496","2,665","17,489",280,"64,727","2,336","87,280","7,371 (8%)","87,280",10%,"600,000","245,000"
italy,"156,363","4,092","19,899",431,"34,211","1,677","102,253","3,343 (3%)","102,253",13%,"1,010,193","46,720"
france,"132,591","2,937","14,393",561,"27,186",795,"91,012","6,845 (8%)","91,012",11%,"333,807",0
germany,"127,854","2,402","3,022",151,"60,300","2,900","64,532","4,895 (8%)","64,532",2%,"1,317,887",0
united-kingdom,"85,177","5,331","10,628",737,623,4,"73,926","1,559 (2%)","73,926",12%,"352,974","18,000"
china,"83,116",1,"3,343",0,"77,937",0,"1,836",121 (7%),"1,836",4%,0,0
iran,"71,686","1,657","4,474",117,"43,894","1,947","23,318","3,930 (17%)","23,318",6%,"263,388","11,685"
turkey,"56,956","4,789","1,198",97,"3,446",481,"52,312","1,665 (3%)","52,312",2%,"376,100","35,720"
belgium,"30,589",942,"3,903",303,"6,707",244,"19,979","1,234 (6%)","19,979",13%,"102,151",0
netherlands,"25,729","1,174","2,746",94,287,3,"22,696","1,384 (6%)","22,696",11%,"101,534",0
switzerland,"25,449",34,"1,115",9,"12,700",0,"11,634",386 (3%),"11,634",4%,"193,800",0
canada,"24,383","1,065",717,64,"7,172",744,"16,494",557 (3%),"16,494",3%,"404,651","3,099"
brazil,"22,318",126,"1,230",7,173,0,"20,915",296 (1%),"20,915",6%,"62,985",0
russia,"18,328","2,558",148,18,"1,470",179,"16,710",8 (0%),"16,710",1%,"1,300,000","100,000"
portugal,"16,585",598,504,34,277,11,"15,804",228 (1%),"15,804",3%,"163,616",818
austria,"13,972",27,368,18,"7,343",356,"6,261",239 (4%),"6,261",3%,"148,412","3,535"
israel,"11,235",90,110,7,"1,689",62,"9,436",181 (2%),"9,436",1%,"117,339",0
south-korea,"10,537",25,217,3,"7,447",79,"2,873",55 (2%),"2,873",2%,"514,621",0
sweden,"10,483",332,899,12,381,0,"9,203",839 (9%),"9,203",9%,"54,700",0
ireland,"9,655",727,334,14,25,0,"9,296",194 (2%),"9,296",3%,"53,000",0
india,"9,240",35,331,0,"1,096",16,"7,813",0 (0%),"7,813",4%,"189,111",0
peru,"7,519",671,193,12,"1,798",59,"5,528",134 (2%),"5,528",3%,"76,506","8,794"
ecuador,"7,466",209,333,18,501,90,"6,632",184 (3%),"6,632",4%,"23,635","2,067"
japan,"7,370",622,123,15,784,22,"6,463",129 (2%),"6,463",2%,"77,381","8,610"
chile,"7,213",286,80,7,"2,059",195,"5,074",387 (8%),"5,074",1%,"82,271","5,897"
poland,"6,674",318,232,24,439,64,"6,003",160 (3%),"6,003",3%,"138,007","8,447"
norway,"6,525",116,128,9,32,0,"6,365",59 (1%),"6,365",2%,"126,486","2,207"
australia,"6,359",46,61,1,"3,494",156,"2,804",79 (3%),"2,804",1%,"362,136","8,195"
denmark,"6,358",178,273,13,"2,280",180,"3,805",104 (3%),"3,805",4%,"70,125","2,354"
romania,"6,300",310,316,25,852,94,"5,132",204 (4%),"5,132",5%,"62,328","3,056"
czechia,"5,991",89,138,9,464,53,"5,389",87 (2%),"5,389",2%,"125,126","4,841"
pakistan,"5,374",144,93,2,"1,095",67,"4,186",44 (1%),"4,186",2%,"65,114","3,313"
philippines,"4,932",284,315,18,242,45,"4,375",1 (0%),"4,375",6%,"33,814",0
malaysia,"4,817",134,77,1,"2,276",168,"2,464",66 (3%),"2,464",2%,"77,491",0
mexico,"4,661",442,296,23,"1,843",71,"2,522",185 (7%),"2,522",6%,"36,594","1,115"
indonesia,"4,557",316,399,26,380,21,"3,778",0 (0%),"3,778",9%,"27,075",0
saudi-arabia,"4,462",429,59,7,761,41,"3,642",67 (2%),"3,642",1%,"115,585",0
united-arab-emirates,"4,123",387,22,2,680,92,"3,421",1 (0%),"3,421",1%,"648,195",0
serbia,"3,630",250,80,6,400,282,"3,150",146 (5%),"3,150",2%,"18,312","1,913"
panama,"3,400",166,87,8,29,6,"3,284",106 (3%),"3,284",3%,"15,147",559
luxembourg,"3,281",11,66,4,500,0,"2,715",30 (1%),"2,715",2%,"29,165",200
ukraine,"3,102",325,93,10,97,8,"2,912",45 (2%),"2,912",3%,"30,314",0
finland,"3,064",90,56,0,300,0,"2,708",80 (3%),"2,708",2%,"45,019",0
qatar,"2,979",251,7,1,275,28,"2,697",37 (1%),"2,697",0%,"49,102","1,351"
dominican-republic,"2,967",208,173,38,131,23,"2,663",147 (6%),"2,663",6%,"9,275",806
colombia,"2,776",67,109,9,270,56,"2,397",92 (4%),"2,397",4%,"41,765","1,162"
thailand,"2,579",28,40,2,"1,288",70,"1,251",61 (5%),"1,251",2%,"71,860",0
belarus,"2,578",352,26,3,203,31,"2,349",50 (2%),"2,349",1%,"64,000","11,000"
singapore,"2,532",233,8,0,560,32,"1,964",31 (2%),"1,964",0%,"72,680",0
argentina,"2,208",66,95,5,468,0,"1,645",83 (5%),"1,645",4%,"19,758",0
south-africa,"2,173",145,25,0,410,0,"1,738",7 (0%),"1,738",1%,"80,085","5,032"
greece,"2,114",33,98,5,269,0,"1,747",76 (4%),"1,747",5%,"42,261","4,917"
egypt,"2,065",126,159,13,589,163,"1,317",0 (0%),"1,317",8%,"25,000",0
algeria,"1,914",89,293,18,591,131,"1,030",60 (6%),"1,030",15%,"3,359",0
morocco,"1,746",85,120,2,196,19,"1,430",1 (0%),"1,430",7%,"8,952",479
iceland,"1,701",12,8,0,889,48,804,10 (1%),804,0%,"35,253",618
moldova,"1,662",102,31,1,94,19,"1,537",80 (5%),"1,537",2%,"6,271",0
croatia,"1,600",66,23,2,373,50,"1,204",34 (3%),"1,204",1%,"16,381",690
hungary,"1,458",48,109,10,120,2,"1,229",58 (5%),"1,229",7%,"34,819","1,287"
iraq,"1,352",34,76,4,640,39,636,0 (0%),636,6%,"35,415","1,526"
new-zealand,"1,349",19,5,1,546,75,798,4 (1%),798,0%,"62,827","1,660"
estonia,"1,332",23,27,2,102,4,"1,203",9 (1%),"1,203",2%,"30,764",415
kuwait,"1,300",66,2,1,150,8,"1,148",26 (2%),"1,148",0%,0,0
slovenia,"1,212",7,55,2,152,2,"1,005",34 (3%),"1,005",5%,"35,405",554
bahrain,"1,136",96,6,0,558,3,572,4 (1%),572,1%,"63,973","3,548"
azerbaijan,"1,098",40,11,0,250,50,837,27 (3%),837,1%,"66,677","5,335"
lithuania,"1,062",9,24,1,101,4,937,14 (1%),937,2%,"41,503",791
armenia,"1,039",26,14,1,211,14,814,30 (4%),814,1%,"7,631",467
bosnia-and-herzegovina,"1,018",9,39,0,206,13,773,4 (1%),773,4%,"10,975",0
hong-kong,"1,010",5,4,0,397,37,609,13 (2%),609,0%,"96,709",0
kazakhstan,979,28,12,2,110,11,857,21 (2%),857,1%,"69,304",0
uzbekistan,896,31,4,0,66,0,826,8 (1%),826,0%,"70,000",0
north-macedonia,828,68,34,0,41,0,753,15 (2%),753,4%,"8,057",404
cameroon,820,0,12,0,98,0,710,0 (0%),710,1%,0,0
bangladesh,803,182,39,5,42,3,722,1 (0%),722,5%,"11,223","1,570"
slovakia,742,14,2,0,23,0,717,5 (1%),717,0%,"27,426","1,580"
oman,727,128,4,0,124,15,599,3 (1%),599,1%,0,0
cruise-ship,712,0,11,0,619,0,82,10 (12%),82,2%,0,0
tunisia,707,22,31,3,43,0,633,85 (13%),633,4%,"11,238",562
bulgaria,676,1,31,2,71,3,574,36 (6%),574,5%,"18,502",0
cuba,669,49,18,2,92,15,559,11 (2%),559,3%,"15,057","1,895"
latvia,653,2,5,0,16,0,632,2 (0%),632,1%,"28,776",562
andorra,638,37,29,3,128,57,481,17 (4%),481,5%,"1,673",0
cyprus,633,17,11,1,65,4,557,8 (1%),557,2%,"17,923",804
lebanon,632,2,20,0,80,0,532,34 (6%),532,3%,"15,408",256
afghanistan,607,52,18,0,32,0,557,0 (0%),557,3%,0,0
costa-rica,595,18,3,0,56,7,536,14 (3%),536,1%,"6,762",154
ivory-coast,574,41,5,1,85,27,484,0 (0%),484,1%,0,0
ghana,566,158,8,0,4,0,554,2 (0%),554,1%,"37,954",549
niger,529,38,12,1,75,34,442,0 (0%),442,2%,"4,353",55
burkina-faso,497,13,27,0,161,6,309,0 (0%),309,5%,0,0
uruguay,480,0,8,1,231,0,241,15 (6%),241,2%,"8,774",0
albania,446,13,23,0,217,20,206,7 (3%),206,5%,"3,877",233
channel-islands,431,24,9,0,48,0,374,0 (0%),374,2%,"3,320",0
kyrgyzstan,419,42,5,0,67,13,347,5 (1%),347,1%,"9,618",0
honduras,397,4,25,0,7,0,365,10 (3%),365,6%,"1,600",0
taiwan,393,5,6,0,114,5,273,0 (0%),273,2%,"47,215",668
jordan,389,8,7,0,201,24,181,5 (3%),181,2%,"20,500",0
réunion,389,1,0,0,40,0,349,3 (1%),349,0%,0,0
malta,378,8,3,0,44,28,331,4 (1%),331,1%,"17,058","1,042"
san-marino,356,0,35,0,53,0,268,14 (5%),268,10%,846,0
bolivia,330,30,27,3,2,0,301,3 (1%),301,8%,"2,185",0
